,Ã˜,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PRES,1.41,1.5,0.15,2.21,0.62,0.89,1.3,0.65,0.84,1.35,0.56
PAST,1.16,1.0,2.92,0.17,1.08,0.37,0.19,0.67,0.0,0.75,0.0
PRES PART,0.9,1.5,1.58,0.56,1.05,0.92,0.0,0.59,2.45,1.98,0.0
PRES PROG,0.49,0.71,0.54,2.07,0.8,2.16,2.37,3.45,0.0,0.0,0.0
PRES ~ PRES PART,1.52,1.18,0.57,0.77,0.46,1.47,1.11,1.51,0.0,0.0,0.0
FUT,0.71,0.55,0.27,1.54,3.35,0.33,2.15,0.44,0.0,0.0,0.0
PAST PROG,0.38,0.59,7.36,0.0,1.45,0.17,0.2,0.97,0.0,0.0,0.0
PRES ~ PRES PROG,0.93,0.38,0.35,1.44,1.21,1.98,2.33,2.38,0.0,0.0,10.98
PAST ~ PAST PROG,0.59,0.67,6.85,0.06,0.94,0.43,0.0,0.28,0.0,0.0,0.0
PAST ~ PRES PART,1.77,0.82,2.84,0.06,0.56,0.23,0.0,0.31,0.0,0.0,0.0
PAST ~ PRES,1.41,1.24,0.2,0.8,1.56,1.54,0.42,0.48,0.0,0.0,0.0
FUT ~ PRES,0.5,0.85,0.75,0.5,2.57,2.84,2.1,1.14,0.0,0.0,0.0
FUT ~ MOD shall,0.59,1.2,0.93,1.92,0.6,4.19,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.66,1.33,0.13,1.27,1.45,0.97,2.4,2.75,0.0,0.0,0.0
PRES PERF,1.56,0.57,0.44,0.81,0.92,1.64,1.92,1.42,0.0,0.0,0.0
TO INF,0.65,0.73,0.6,1.89,1.62,1.64,0.0,2.2,0.0,0.0,0.0
PAST PERF,0.42,0.13,7.67,0.0,1.62,0.0,0.0,2.2,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.64,0.82,7.83,0.16,0.18,0.0,0.0,0.76,0.0,0.0,0.0
FUT ~ FUT going-to,0.74,0.34,0.35,1.03,3.73,0.0,2.41,0.85,0.0,0.0,40.25
PAST ~ PRES PERF,1.56,0.19,0.0,0.42,2.06,3.27,1.76,0.97,0.0,17.1,0.0
FUT ~ PRES PROG,0.88,0.6,0.0,1.49,1.7,1.51,3.83,0.97,0.0,0.0,0.0
PRES PART ~ PRES PROG,0.54,0.4,0.9,1.55,1.08,1.56,1.82,3.27,0.0,17.69,0.0
PAST ~ PAST PERF,0.79,0.22,5.1,0.0,1.28,0.0,0.0,2.44,0.0,0.0,0.0
PAST ~ TO INF,0.31,3.38,1.35,0.41,2.35,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,0.43,0.51,0.0,1.24,0.64,22.47,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.72,0.51,1.96,3.1,0.0,0.0,0.0,0.0,26.73,0.0,0.0
MOD could ~ PAST,1.8,1.24,2.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PROG,0.48,0.0,0.59,1.37,5.91,0.0,2.55,0.0,0.0,0.0,0.0
FUT going-to ~ PRES,0.81,0.0,0.59,3.55,2.65,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,1.44,2.41,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,152.96
FUT ~ PRES PART,0.0,4.5,0.0,4.97,0.0,2.73,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,0.62,1.6,2.94,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,2.16,0.0,1.96,0.0,0.0,0.0,3.64,4.17,0.0,0.0,0.0
MOD can ~ PRES,1.62,0.0,0.98,2.48,1.17,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,1.62,0.0,0.98,2.48,1.17,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.0,0.93,0.0,1.03,0.0,16.58,10.27,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,1.08,1.12,0.0,1.24,1.41,0.0,5.1,0.0,0.0,0.0,0.0
IMPV,0.54,0.0,0.0,0.0,1.76,0.0,6.38,19.62,0.0,0.0,0.0
MOD shall ~ PRES,1.44,0.0,0.0,4.13,0.0,0.0,6.38,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PROG,0.0,1.4,1.47,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,3.24,1.4,0.0,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0
MOD should,0.0,0.0,3.92,1.55,1.76,0.0,0.0,7.3,0.0,0.0,0.0
FUT going-to ~ MOD shall,0.0,1.87,0.0,0.0,0.0,0.0,77.63,0.0,0.0,0.0,0.0
MOD would,2.16,0.0,0.0,2.06,2.35,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.72,0.0,0.0,0.0,0.0,7.29,0.0,29.43,0.0,0.0,0.0
MOD would ~ PAST,0.72,1.87,1.95,0.0,0.0,0.0,0.0,9.74,0.0,0.0,0.0
PAST ~ PRES PROG,0.0,0.0,0.0,6.2,2.35,7.29,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,6.48,0.0,0.0,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,2.16,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,2.16,0.0,1.95,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,0.72,0.0,0.0,0.0,7.05,0.0,8.51,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.0,1.87,1.95,2.06,0.0,0.0,8.51,0.0,0.0,0.0,0.0
IMPV ~ MOD may,0.0,1.87,17.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,1.08,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,0.0,0.0,0.0,12.4,0.0,0.0,12.77,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.0,2.8,2.93,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF PROG,1.08,0.0,0.0,3.09,0.0,0.0,12.77,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.0,2.8,2.93,0.0,0.0,10.94,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,0.0,0.0,3.09,0.0,44.0,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,0.0,0.0,0.0,12.4,3.52,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,1.08,0.0,0.0,0.0,0.0,0.0,0.0,14.61,147.36,0.0,0.0
MOD can ~ TO INF,1.08,0.0,0.0,3.09,3.52,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,1.08,0.0,0.0,0.0,3.52,0.0,12.77,0.0,0.0,0.0,0.0
MOD is to,1.08,0.0,0.0,0.0,0.0,0.0,0.0,14.61,147.36,0.0,0.0
MOD was to ~ PAST,4.32,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,1.08,2.8,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST PROG,2.16,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PART,2.16,0.0,0.0,0.0,0.0,21.88,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,0.0,0.0,5.87,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,0.0,5.6,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,5.87,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF PROG ~ PAST PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,5.6,0.0,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,2.16,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
PRES ~ PRES PROG keep,2.16,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,0.0,5.6,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG ~ TO INF,0.0,5.6,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,2.16,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.0,0.0,0.0,0.0,7.04,0.0,0.0,0.0,294.79,0.0,0.0
PAST ~ VB,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
FUT ~ PAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
FUT ~ MOD would,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD is to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD was to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
TO INF ~ VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
