genre,prose,prophetic,prose,poetry,instruction,prophetic,prophetic,list,poetry,prose,prose,list,instruction,prophetic,instruction,list,instruction,list
domain2,Q,Q,N,Q,Q,N,?,N,?,D,?,?,D,D,?,Q,N,D
eng_TAMsimp,,,,,,,,,,,,,,,,,,
PRES ~ PRES PART,57,60,7,24,15,3,4,1,8,1,0,0,1,0,2,0,0,0
PAST ~ PAST PROG,10,7,72,0,0,10,0,0,0,1,2,0,0,1,0,0,0,0
PAST ~ PRES PART,5,9,52,2,0,13,2,5,0,2,2,1,0,0,0,0,0,1
PRES ~ PRES PROG,45,29,0,4,7,1,1,0,0,0,0,0,0,0,0,1,0,0
PAST ~ PRES,10,14,5,20,2,0,4,2,0,2,0,0,0,1,1,0,0,0
FUT ~ PRES,18,24,0,4,3,0,3,0,0,0,0,0,2,0,0,0,0,0
FUT ~ MOD shall,33,11,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0
PRES ~ PRES PERF,14,14,0,15,2,0,1,0,1,0,0,0,0,1,0,0,0,0
PAST PROG ~ PRES PART,2,2,30,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,19,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,15,11,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,2,1,20,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
PRES PART ~ PRES PROG,18,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,3,11,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PAST ~ TO INF,2,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,3,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,5,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ PRES,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST,0,0,4,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0
FUT going-to ~ PRES PROG,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,2,2,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,1,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,2,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
PRES PART ~ PRES PERF,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PAST PROG,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PROG,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF PROG,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF PROG ~ PRES PROG,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES PART,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF PROG,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD was to ~ PAST,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG keep,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PAST,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF PROG ~ PAST PROG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF PROG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PAST PROG,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST PROG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES PART,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PAST PERF PROG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ TO INF,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST PERF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF ~ VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ VB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD shall ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PROG ~ TO INF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PROG ~ PRES PROG keep,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PERF PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ VB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ TO INF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PERF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that VB ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PAST,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD was to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not ~ TO INF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD would,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FUT PROG ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
