eng_TAMsimp,TOTAL,0,1
PAST,11466,11073,393
PAST ~ PRES PART,196,191,5
PRES,195,183,12
PAST ~ PAST PERF,183,174,9
PRES PERF,182,174,8
PAST ~ PRES PERF,116,108,8
PAST ~ PRES,93,91,2
PAST ~ TO INF,78,77,1
PAST PERF,56,39,17
PRES ~ PRES PERF,45,40,5
PAST ~ PAST PROG,27,26,1
PRES PART,26,26,0
FUT ~ PRES,18,18,0
MOD would,12,12,0
MOD could ~ PAST,11,11,0
TO INF,10,10,0
FUT ~ PAST,8,8,0
MOD let ~ PAST,6,6,0
PRES ~ PRES PART,6,6,0
PRES ~ TO INF,5,5,0
PRES PART ~ PRES PERF,5,5,0
PAST PROG,5,5,0
PRES ~ PRES PROG,5,5,0
MOD would ~ PAST,5,5,0
IMPV ~ PAST,5,5,0
FUT ~ PRES PERF,5,5,0
PAST PERF ~ PRES PERF,4,4,0
PAST PERF ~ PRES PART,3,3,0
PRES PERF ~ TO INF,3,3,0
PAST ~ VB,3,3,0
MOD let,3,3,0
FUT ~ MOD shall,3,2,1
FUT,2,2,0
PRES PERF ~ PRES PROG,2,2,0
MOD may ~ PAST,2,2,0
MOD can ~ PRES,2,2,0
PRES PERF PROG,1,1,0
MOD is to ~ PRES PERF,1,1,0
FUT ~ PRES PART,1,1,0
FUT ~ MOD would,1,1,0
PRES PART ~ TO INF,1,1,0
IMPV ~ PRES,1,1,0
IMPV ~ PRES PART,1,1,0
MOD can ~ PAST,1,1,0
MOD could ~ MOD might,1,1,0
MOD might ~ PRES PERF,1,1,0
PAST ~ PAST PERF PROG,1,1,0
MOD let ~ MOD may,1,1,0
MOD must ~ PAST,1,1,0
MOD let ~ PRES,1,1,0
PAST PROG ~ PRES PERF PROG,1,1,0
PAST PROG ~ PRES PERF,1,0,1
PAST PROG ~ PRES PART,1,1,0
MOD let ~ PRES PART,1,1,0
PAST PERF ~ TO INF,1,1,0
MOD may,1,1,0
MOD would ~ PRES,1,1,0
MOD may ~ PRES,1,1,0
MOD should ~ TO INF,1,1,0
MOD should ~ PRES,1,1,0
MOD should ~ MOD would,1,1,0
MOD must ~ PRES,1,1,0
??VB ~ PAST,1,0,1
