esv_TAM,x,Wx,Ã˜,W
MOD shall,0.03,0.1,-0.06,-0.07
PRES,0.1,-0.06,0.01,-0.05
FUT,-0.04,0.01,0.02,0.01
MOD let,-0.34,-0.15,0.32,0.17
MOD may,-0.16,-0.1,-0.06,0.32
PAST,-0.09,-0.01,0.12,-0.01
IMPV,-0.03,0.06,0.01,-0.04
IMPV do not,0.16,0.08,-0.15,-0.09
MOD can,0.13,0.07,-0.12,-0.08
PRES do not,-0.0,0.24,-0.15,-0.09
MOD would,0.01,-0.08,0.04,0.03
MOD should,0.21,-0.08,-0.12,-0.02
MOD lest,0.19,0.04,-0.15,-0.07
TO INF,-0.18,-0.06,-0.01,0.26
PRES PERF,0.11,-0.06,-0.0,-0.05
PRES PART,0.02,0.03,-0.01,-0.04
FUT question,0.26,-0.19,0.01,-0.08
PRES wh-question,0.15,-0.08,-0.02,-0.05
MOD must,0.15,-0.05,-0.04,-0.06
PRES question,0.21,-0.11,-0.05,-0.06
MOD quest shall,0.34,-0.19,-0.1,-0.05
MOD quest can,0.29,-0.11,-0.1,-0.09
MOD could,0.13,0.01,-0.11,-0.03
MOD might,-0.07,-0.07,-0.04,0.18
PAST did not,-0.16,0.4,-0.15,-0.09
MOD is to,0.32,-0.24,0.01,-0.09
MOD quest should,0.27,-0.19,-0.05,-0.04
FUT wh-question,0.06,0.13,-0.1,-0.09
HAB used to,0.13,0.05,-0.09,-0.09
PAST PERF,0.02,0.14,-0.08,-0.09
MOD was to,0.15,0.01,-0.15,-0.0
PRES do-support,-0.07,0.2,-0.04,-0.09
MOD that be,-0.14,0.26,-0.15,0.04
MOD VB,0.11,0.01,-0.03,-0.09
PRES PROG,0.11,-0.12,-0.03,0.04
PAST PROG,-0.18,0.42,-0.15,-0.09
MOD quest would,0.48,-0.24,-0.15,-0.09
?VB,-0.02,0.26,-0.15,-0.09
MOD,-0.02,-0.24,-0.15,0.41
PRES PERF question,0.48,-0.24,-0.15,-0.09
PRES shall,-0.18,0.42,-0.15,-0.09
FUT PROG,-0.18,0.42,-0.15,-0.09
PAST question,0.15,0.09,-0.15,-0.09
PRES PERF wh-question,0.48,-0.24,-0.15,-0.09
FUT PERF,-0.02,0.26,-0.15,-0.09
PRES do,-0.52,0.76,-0.15,-0.09
MOD need not,0.48,-0.24,-0.15,-0.09
MOD quest could,0.48,-0.24,-0.15,-0.09
PAST wh-question,-0.02,-0.24,-0.15,0.41
IMPV not,-0.52,0.76,-0.15,-0.09
PRES can,0.48,-0.24,-0.15,-0.09
JJ,-0.52,0.76,-0.15,-0.09
PAST PROG keep,0.48,-0.24,-0.15,-0.09
MOD that,-0.52,-0.24,-0.15,0.91
MOD quest must,-0.52,0.76,-0.15,-0.09
