,,qtl,Ã˜,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,V,1.27,0.98,0.26,1.38,1.36,1.65,1.9,1.08,0.43
PAST..IND,V,1.78,0.85,1.4,0.45,0.35,0.31,0.56,0.49,0.0
PAST..IND,RV,0.42,3.62,0.42,0.59,0.71,1.58,1.3,0.79,2.99
PRES.PERF.IND,V,1.61,0.96,0.55,0.6,1.73,0.51,1.42,0.93,0.78
PAST..IND,_W_SV,0.99,0.73,3.5,0.08,0.09,0.19,0.36,1.37,0.0
PRES.PERF.IND,RV,0.19,1.99,0.06,1.95,1.6,4.55,1.58,2.17,1.21
PAST..IND,_W_V,1.26,1.3,1.99,0.14,0.0,0.09,0.13,0.65,0.0
PAST.PERF.IND,RV,0.39,0.95,4.0,0.05,0.0,0.34,2.93,0.98,0.0
PAST..IND,_KJ_V,0.86,0.4,2.25,1.38,0.37,1.19,1.13,0.55,1.66
PRES.PERF.IND,_KJ_V,0.7,0.49,0.11,4.44,4.92,1.48,0.09,1.06,0.0
PAST..IND,SV,1.13,1.56,0.92,0.43,0.79,0.2,1.51,0.46,1.73
PAST..IND,_W_OV,1.06,0.54,4.87,0.0,0.07,0.15,0.0,0.0,0.0
PRES..IND,_KJ_V,0.83,0.45,0.1,4.12,6.26,0.62,0.24,0.29,2.21
PAST..IND,_>R_V,0.63,0.22,2.22,1.48,0.36,3.53,0.95,0.99,2.45
PRES.PERF.IND,SV,0.88,1.04,0.44,1.47,1.87,0.88,1.72,1.91,0.0
PRES..IND,SV,1.45,0.96,0.43,1.31,1.23,0.12,1.06,2.25,0.0
PRES.PERF.IND,OV,0.97,1.1,0.93,1.13,1.54,0.31,1.56,0.25,0.0
PAST.PERF.IND,_KJ_V,0.89,0.16,4.81,0.21,0.0,0.16,1.64,2.01,0.0
PAST..IND,OV,1.86,0.62,1.75,0.3,0.63,0.5,0.23,0.0,0.0
PRES..IND,_W_SV,3.19,0.71,0.1,1.07,0.48,0.69,0.47,1.48,0.0
PRES.PERF.IND,_W_V,2.96,0.85,0.52,0.67,0.0,0.36,0.24,0.3,9.88
PRES.PERF.IND,_W_SV,2.52,0.66,0.04,1.61,0.18,0.8,0.54,3.27,0.0
PRES..IND,RV,0.25,2.31,0.09,2.29,2.02,1.65,1.25,1.52,0.0
PRES.PERF.IND,_KJ_SV,0.18,1.09,0.05,3.47,3.39,5.92,0.0,0.0,6.11
PRES.PERF.IND,_>R_V,0.42,0.56,0.15,4.09,1.52,2.92,1.86,3.3,0.0
PRES..IND,OV,1.46,0.9,0.34,2.33,0.76,0.0,0.0,2.89,0.0
PRES.PERF.IND,QV,0.6,1.22,1.2,0.58,1.23,0.64,3.95,0.53,0.0
PAST.PERF.IND,_W_SV,1.14,0.42,4.18,0.0,0.0,0.0,0.0,1.82,0.0
PAST.PERF.IND,_>R_V,0.71,0.11,5.99,0.32,0.0,0.36,2.1,0.6,0.0
PRES..IND,_W_V,2.73,1.15,0.26,1.0,0.0,0.86,0.0,0.0,0.0
PRES.PERF.IND,_W_OV,3.56,0.55,0.18,0.39,0.41,1.38,0.6,2.32,0.0
PRES.PERF.IND,_KJ_OV,0.18,0.99,0.1,2.42,7.64,2.13,0.0,2.61,0.0
PRES..IND,_KJ_SV,0.45,0.48,0.0,3.17,6.8,2.38,0.0,0.91,30.71
PAST.PERF.IND,QV,0.8,0.51,2.26,0.0,0.0,0.57,5.61,1.99,0.0
PRES.PERF.IND,IV,0.48,1.06,2.0,1.1,2.35,0.0,0.79,0.0,0.0
PAST..IND,_KJ_SV,0.77,0.44,1.5,1.96,1.21,1.3,0.86,1.05,0.0
PRES..IND,_W_OV,5.56,0.32,0.26,0.88,0.0,0.0,0.0,2.19,0.0
PRES.PERF.IND,_>M_V,0.46,1.1,0.59,4.23,0.0,2.17,0.0,1.13,0.0
FUT..IND,V,0.7,1.3,0.13,3.08,0.0,2.17,1.91,1.13,0.0
PAST..SUBJ,_W_V,0.65,0.24,8.5,0.0,0.0,0.0,0.0,0.0,19.35
PAST.PERF.IND,V,0.72,1.68,2.12,0.0,0.75,0.0,0.0,1.35,0.0
PRES..MOD,_W_V,1.27,0.41,4.01,0.0,0.0,0.0,0.0,1.35,0.0
PRES..IND,_>M_V,0.27,1.71,0.21,2.95,4.7,0.0,0.0,1.78,0.0
PRES..IND,QV,0.64,1.13,2.33,1.65,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_RV,11.26,0.42,0.0,0.0,0.0,0.0,0.0,2.11,0.0
PAST..IND,QV,0.51,0.98,1.23,1.89,2.5,1.26,0.0,0.0,0.0
PAST.PERF.IND,SV,0.6,1.15,4.58,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_KJ_SV,2.1,0.79,1.0,0.0,0.0,1.44,1.98,0.0,0.0
PAST.PERF.IND,_W_V,3.61,0.0,1.45,0.63,0.0,0.0,0.0,2.42,0.0
PRES..,V,0.6,0.79,2.67,1.36,1.34,0.0,0.0,0.0,0.0
PAST..SUBJ,V,2.1,1.59,0.61,0.0,1.34,0.0,0.0,0.0,0.0
PAST..IND,IV,0.37,0.49,1.45,2.21,4.7,0.0,1.98,0.0,0.0
PRES..IND,IV,0.18,0.86,1.6,4.92,0.0,0.0,2.13,0.0,0.0
PRES..IND,_W__>M_V,0.48,0.29,0.0,6.32,1.7,6.75,0.0,0.0,0.0
PRES..IND,RSV,0.22,2.27,0.0,2.94,1.7,1.83,2.52,0.0,0.0
PAST..IND,_KJ_OV,0.24,0.32,1.5,5.05,1.87,2.02,0.0,0.0,0.0
PAST.PERF.IND,_W_OV,3.61,0.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_OV,1.03,1.36,0.0,2.21,4.69,0.0,0.0,0.0,0.0
PRES.PERF.IND,ISV,0.3,0.91,1.14,2.52,2.34,0.0,3.46,0.0,0.0
PAST..IND,_>M_V,1.2,0.4,0.5,2.52,0.0,5.78,0.0,0.0,0.0
PRES.PERF.IND,_W_IV,1.2,0.4,0.5,0.0,0.0,16.25,0.0,0.0,0.0
PRES..IND,_>R_V,1.2,0.91,0.5,4.42,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_KJ_OV,0.8,0.45,4.0,0.0,0.0,2.88,0.0,0.0,0.0
PAST..IND,_W_IV,0.34,0.0,4.0,1.26,0.0,0.0,0.0,11.32,0.0
PRES.PERF.IND,_>M_IV,0.0,1.06,6.66,0.0,0.0,0.0,3.96,0.0,0.0
PRES..IND,ISV,0.0,3.17,1.33,0.0,2.67,0.0,3.96,0.0,0.0
PAST..IND,_W__KJ_V,7.22,0.45,0.57,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,SV,1.44,0.45,0.0,5.3,0.0,2.88,0.0,0.0,0.0
PRES..IND,_>W_V,0.8,0.0,0.0,1.26,0.0,33.94,0.0,0.0,0.0
PAST..IND,_J<N/_V,0.96,1.27,0.0,1.47,0.0,3.36,0.0,5.64,0.0
PAST..IND,_W_ISV,0.0,0.0,10.0,0.0,0.0,0.0,0.0,13.59,0.0
PRES.PERF.IND,_W__>M_V,12.02,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_RV,4.81,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_J<N/_V,1.2,3.17,0.0,0.0,0.0,4.04,0.0,0.0,0.0
PRES.PERF.IND,IIV,0.0,0.63,7.99,1.76,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_V,2.4,1.58,0.0,1.76,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LW_V,0.0,4.76,2.66,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,V,0.6,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_V,0.6,0.79,0.0,2.2,0.0,13.48,0.0,0.0,0.0
PAST..IND,ISV,3.6,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_RV,9.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,IIV,0.0,0.0,15.99,0.0,4.68,0.0,0.0,0.0,0.0
PRES..,_W_V,1.6,0.0,1.0,5.89,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_SOV,3.6,0.79,0.0,2.2,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_W_SV,0.6,0.79,2.66,0.0,0.0,0.0,0.0,8.46,0.0
PAST.PERF.IND,_W_QV,0.8,3.17,0.0,0.0,0.0,0.0,9.24,0.0,0.0
PAST..IND,_<D_V,0.0,1.06,3.99,2.94,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_SOV,0.0,3.17,0.0,8.83,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W__>R_V,2.4,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_SV,0.0,1.06,0.0,26.52,0.0,0.0,0.0,0.0,0.0
PRES..,RV,0.8,3.17,0.0,0.0,0.0,6.73,0.0,0.0,0.0
PRES..IND,SOV,2.4,1.06,0.0,2.94,0.0,0.0,0.0,0.0,0.0
..,V,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.71
PRES.PERF.IND,_W__KJ_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,IV,0.8,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_V,4.8,0.0,0.0,0.0,0.0,10.09,0.0,0.0,0.0
PRES.PERF.IND,IOV,0.0,0.0,7.99,0.0,9.36,0.0,0.0,0.0,0.0
PAST..IND,__V,1.2,1.58,0.0,4.41,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_V,1.2,0.0,0.0,17.66,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,RV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_KJ_V,1.2,0.0,2.0,0.0,9.36,0.0,0.0,0.0,0.0
PAST.PROG.IND,_KJ_V,1.2,0.0,2.0,0.0,0.0,0.0,13.86,0.0,0.0
PAST..SUBJ,SV,4.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,OV,1.2,1.58,2.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_SV,1.2,0.0,0.0,4.41,9.36,0.0,0.0,0.0,0.0
PAST..IND,SOV,1.2,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,QSV,1.2,0.0,2.0,4.41,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_W_SV,0.0,1.58,2.0,0.0,0.0,0.0,0.0,16.93,0.0
PRES.PROG.IND,V,0.0,0.0,2.0,0.0,0.0,0.0,55.61,0.0,0.0
FUT..IND,OV,0.0,1.58,0.0,0.0,9.36,0.0,0.0,16.93,0.0
PAST.PERF.IND,_>XR/_V,1.2,0.0,7.99,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_V,1.2,0.0,0.0,17.66,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ__>M_V,1.2,1.58,0.0,4.41,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_IV,0.0,1.58,0.0,0.0,37.53,0.0,0.0,0.0,0.0
PRES..MOD,_KJ_SV,1.2,1.58,0.0,4.41,0.0,0.0,0.0,0.0,0.0
PRES..MOD,SV,1.2,0.0,0.0,17.66,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ__>M_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__>R_V,4.8,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_W_SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_W_OV,0.0,0.0,3.99,0.0,0.0,0.0,0.0,33.87,0.0
PAST.PERF.IND,QOV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_LM<N_V,0.0,0.0,0.0,8.82,0.0,0.0,27.72,0.0,0.0
PAST..IND,_W_QV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W__>M_V,0.0,3.17,0.0,0.0,0.0,20.19,0.0,0.0,0.0
PRES.PERF.IND,_>M_OV,2.4,0.0,0.0,8.82,0.0,0.0,0.0,0.0,0.0
PRES..IND,_<D_V,0.0,0.0,0.0,0.0,0.0,20.19,0.0,33.87,0.0
PRES.PERF.IND,_>R__>M_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST..IND,QSV,2.4,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_OV,0.0,0.0,0.0,8.82,18.73,0.0,0.0,0.0,0.0
FUT..IND,_KJ_SV,0.0,0.0,0.0,8.82,18.73,0.0,0.0,0.0,0.0
PRES.PROG.IND,SV,0.0,0.0,0.0,8.82,0.0,0.0,27.72,0.0,0.0
FUT.PERF.IND,_W_SOV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,IOV,0.0,3.17,3.99,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,RV,0.0,3.17,0.0,0.0,0.0,20.19,0.0,0.0,0.0
PAST..IND,RSV,2.4,0.0,0.0,0.0,0.0,0.0,0.0,33.87,0.0
PAST..IND,_W_OSV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W__>R_V,2.4,0.0,0.0,0.0,18.73,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_SOV,0.0,3.17,0.0,0.0,0.0,20.19,0.0,0.0,0.0
PAST..IND,_>W_SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_QV,2.4,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_VSV,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_J<N/_OV,2.4,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ__>M_V,0.0,0.0,0.0,8.82,18.73,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,RV,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_IV,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LWL>_SV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_W_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,IOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,OV,2.4,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,OSV,2.4,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__LW_V,0.0,3.17,0.0,0.0,0.0,0.0,27.72,0.0,0.0
PRES..IND,_W_IV,0.0,0.0,0.0,8.82,0.0,20.19,0.0,0.0,0.0
PRES..,_W_SV,0.0,3.17,0.0,0.0,0.0,0.0,0.0,33.87,0.0
PAST.PERF.IND,_KJ__LWL>_V,0.0,3.17,0.0,0.0,18.73,0.0,0.0,0.0,0.0
PRES..MOD,RV,0.0,3.17,0.0,0.0,0.0,20.19,0.0,0.0,0.0
PRES..IND,_>M_SV,2.4,0.0,0.0,8.82,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,SV,0.0,3.17,3.99,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_>R_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES..,_KJ__>M_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,ISV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_KJ_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_W_V,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_QV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,_KJ_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST..IND,VSV,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>R_SV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_ISV,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PAST..IND,_<L_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,_W_OV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES.PERF.IND,_W__>M_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>W_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES..,_W__KJ_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,OSV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,OV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,_BLT/_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
FUT..IND,IOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,IV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,QV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES.PROG.IND,_KMW_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_KJ_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_IV,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PRES..IND,_>R__>M_V,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,ROV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_ISV,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PRES..IND,_KJ_IV,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
FUT..IND,_W_OV,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES..IND,_KJ_QV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ__>M_SV,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES..IND,_LWL>_V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_V,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES.PERF.IND,_KJ_SOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_ISV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,__SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,IOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,OV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES..MOD,ISV,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_<QB/_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QOV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_LW_V,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PAST..SUBJ,_W_OV,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,OSV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,IOV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,QV,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PAST.PERF.IND,_LWL>_V,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_K_V,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PAST.PERF.IND,_J<N/_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_<D_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_<L_OV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>LW_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,__V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_ZWLH/_OV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_PN_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,RSV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_<D_V,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,__V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST..IND,_LWL>_SV,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
PAST..IND,_LW_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>W_V,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES..IND,_W_QV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_OV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_QSV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__>M_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>R_SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>M_SV,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES.PERF.IND,_<D_V,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES..IND,_W__>M_SV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_<D_SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QSV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
